cgpa,projects,certifications,experience_level,skills,role
5.75,5,3,0,"Prototyping, Adobe XD, Figma, JavaScript, AWS",UI/UX Design Intern
5.95,1,3,2,"Figma, User Research, Adobe XD, Machine Learning, Mobile Development",UI/UX Design Intern
6.26,4,3,0,"Bash, Linux, Jenkins, Statistics, Excel",DevOps Intern
5.73,3,1,1,"SQL, Pandas, Python, TensorFlow, User Research",Data Science Intern
7.34,2,1,2,"Wireframing, User Research, Figma, HR Policies, Firebase",UI/UX Design Intern
8.67,2,1,1,"NumPy, Python, Machine Learning, Linux, Prototyping",AI/ML Engineer Intern
6.38,3,3,1,"Jenkins, CI/CD, Docker, User Research, Recruitment",DevOps Intern
8.91,4,0,2,"Python, Pandas, SQL, GCP, Bash",Data Science Intern
7.98,1,2,2,"HR Policies, MS Office, Communication, Adobe XD, CI/CD",HR Operations Intern
6.42,3,0,1,"AWS, Terraform, Cloud Architecture, Prototyping, SQL",Cloud Computing Intern
6.31,0,2,2,"MS Office, Excel, Recruitment, Jenkins, Figma",HR Operations Intern
7.79,1,2,1,"Cloud Architecture, AWS, Terraform, Firebase, Adobe XD",Cloud Computing Intern
9.03,2,3,0,"Statistics, Python, SQL, Excel, Terraform",Data Science Intern
7.51,3,0,1,"HTML, MongoDB, Node.js, Flutter, HR Policies",Full Stack Developer Intern
5.79,3,1,2,"Cloud Architecture, Azure, Terraform, Docker, Mobile Development",Cloud Computing Intern
7.39,1,3,2,"Prototyping, Wireframing, Adobe XD, Firebase, Cloud Architecture",UI/UX Design Intern
9.6,0,1,2,"React, Node.js, JavaScript, SQL, Cloud Architecture",Full Stack Developer Intern
9.69,4,2,0,"MS Office, Recruitment, Excel, Bash, Linux",HR Operations Intern
8.43,1,2,0,"Terraform, GCP, Azure, MongoDB, Adobe XD",Cloud Computing Intern
6.96,4,1,0,"Dart, Firebase, Flutter, Azure, HTML",Flutter Developer Intern
8.45,3,2,2,"Firebase, Mobile Development, Flutter, HTML, SQL",Flutter Developer Intern
8.99,0,0,2,"Terraform, GCP, AWS, Pandas, NumPy",Cloud Computing Intern
9.56,5,3,1,"AWS, Azure, Terraform, Data Visualization, Flutter",Cloud Computing Intern
7.52,4,3,2,"Mobile Development, Flutter, Firebase, MongoDB, Communication",Flutter Developer Intern
5.77,1,2,0,"NumPy, TensorFlow, Python, JavaScript, Prototyping",AI/ML Engineer Intern
9.68,1,1,1,"Dart, Mobile Development, Flutter, User Research, Linux",Flutter Developer Intern
9.24,2,0,0,"Pandas, TensorFlow, NumPy, Data Visualization, Jenkins",AI/ML Engineer Intern
8.87,5,0,1,"Flutter, Firebase, Dart, MS Office, Statistics",Flutter Developer Intern
7.08,5,3,1,"Flutter, Mobile Development, Dart, Data Visualization, User Research",Flutter Developer Intern
7.85,1,3,0,"Adobe XD, Prototyping, Wireframing, Statistics, CSS",UI/UX Design Intern
9.75,4,0,1,"AWS, Cloud Architecture, Terraform, Mobile Development, Node.js",Cloud Computing Intern
9.21,2,1,0,"Wireframing, Adobe XD, Prototyping, HTML, Docker",UI/UX Design Intern
6.29,3,2,0,"Azure, Cloud Architecture, AWS, User Research, CSS",Cloud Computing Intern
8.07,0,2,2,"GCP, Cloud Architecture, Azure, Recruitment, Bash",Cloud Computing Intern
9.94,1,3,0,"Wireframing, Adobe XD, User Research, Dart, NumPy",UI/UX Design Intern
8.4,3,0,2,"HR Policies, Communication, MS Office, Bash, Figma",HR Operations Intern
8.1,2,0,2,"TensorFlow, NumPy, Machine Learning, CI/CD, MongoDB",AI/ML Engineer Intern
5.6,1,0,1,"Machine Learning, Pandas, TensorFlow, AWS, Docker",AI/ML Engineer Intern
9.15,3,3,2,"Recruitment, HR Policies, Excel, Firebase, Flutter",HR Operations Intern
7.2,3,1,0,"CI/CD, Jenkins, Linux, Statistics, Node.js",DevOps Intern
7.64,5,3,2,"Bash, Linux, CI/CD, Data Visualization, Recruitment",DevOps Intern
8.18,1,1,0,"MongoDB, Node.js, CSS, Linux, NumPy",Full Stack Developer Intern
6.75,2,2,0,"Communication, MS Office, Excel, MongoDB, Pandas",HR Operations Intern
9.93,3,3,2,"Figma, Adobe XD, Wireframing, AWS, CI/CD",UI/UX Design Intern
5.52,2,3,2,"Firebase, Mobile Development, Flutter, Azure, SQL",Flutter Developer Intern
9.28,5,3,0,"Communication, HR Policies, MS Office, Python, Data Visualization",HR Operations Intern
8.49,5,0,0,"Jenkins, Bash, Linux, Python, Figma",DevOps Intern
9.06,4,2,2,"Dart, Firebase, Flutter, CI/CD, Adobe XD",Flutter Developer Intern
6.44,5,1,2,"Communication, Recruitment, HR Policies, Cloud Architecture, Flutter",HR Operations Intern
8.81,1,2,2,"Azure, Cloud Architecture, Terraform, Wireframing, MongoDB",Cloud Computing Intern
9.16,4,1,1,"MongoDB, React, Node.js, CI/CD, TensorFlow",Full Stack Developer Intern
8.89,1,2,0,"GCP, Terraform, Azure, Data Visualization, SQL",Cloud Computing Intern
7.21,3,0,2,"HR Policies, MS Office, Recruitment, Pandas, Flutter",HR Operations Intern
6.43,5,2,0,"Mobile Development, Firebase, Dart, React, Wireframing",Flutter Developer Intern
8.27,2,1,1,"Excel, MS Office, HR Policies, Mobile Development, NumPy",HR Operations Intern
7.11,1,2,1,"Recruitment, MS Office, Excel, Dart, Jenkins",HR Operations Intern
6.62,0,1,1,"Docker, CI/CD, Bash, MS Office, Firebase",DevOps Intern
7.96,0,2,0,"Statistics, SQL, Python, MS Office, HR Policies",Data Science Intern
8.98,1,3,2,"Figma, Wireframing, Prototyping, Communication, Machine Learning",UI/UX Design Intern
6.74,4,2,1,"Flutter, Mobile Development, Firebase, Azure, Node.js",Flutter Developer Intern
7.3,3,2,2,"Prototyping, Figma, User Research, Node.js, Pandas",UI/UX Design Intern
7.58,5,2,2,"TensorFlow, NumPy, Pandas, JavaScript, Data Visualization",AI/ML Engineer Intern
8.0,1,1,0,"NumPy, TensorFlow, Python, CSS, HR Policies",AI/ML Engineer Intern
7.61,5,0,1,"TensorFlow, Pandas, NumPy, HTML, Prototyping",AI/ML Engineer Intern
6.39,0,0,0,"MongoDB, CSS, HTML, Pandas, Recruitment",Full Stack Developer Intern
7.94,3,0,0,"React, CSS, MongoDB, AWS, NumPy",Full Stack Developer Intern
6.63,2,3,1,"Node.js, React, HTML, Linux, Jenkins",Full Stack Developer Intern
8.78,2,2,1,"User Research, Adobe XD, Wireframing, MS Office, Firebase",UI/UX Design Intern
8.78,4,1,0,"Bash, CI/CD, Linux, Pandas, GCP",DevOps Intern
9.07,4,1,0,"HR Policies, MS Office, Recruitment, Docker, User Research",HR Operations Intern
7.85,0,1,2,"NumPy, TensorFlow, Python, SQL, Cloud Architecture",AI/ML Engineer Intern
7.62,0,2,1,"CSS, MongoDB, JavaScript, Excel, GCP",Full Stack Developer Intern
9.24,0,0,2,"Python, SQL, Pandas, GCP, Prototyping",Data Science Intern
6.63,3,1,0,"Flutter, Mobile Development, Firebase, CI/CD, Machine Learning",Flutter Developer Intern
9.52,2,2,1,"MS Office, Communication, HR Policies, Wireframing, User Research",HR Operations Intern
8.65,4,3,1,"MS Office, Recruitment, HR Policies, SQL, User Research",HR Operations Intern
8.35,2,2,0,"Python, Statistics, SQL, Prototyping, Jenkins",Data Science Intern
7.7,0,1,1,"Statistics, Data Visualization, Python, Linux, TensorFlow",Data Science Intern
7.57,3,3,0,"Flutter, Mobile Development, Firebase, Python, Recruitment",Flutter Developer Intern
9.23,2,3,1,"Linux, Bash, CI/CD, HTML, Wireframing",DevOps Intern
5.56,0,0,0,"CSS, React, MongoDB, Cloud Architecture, HR Policies",Full Stack Developer Intern
8.56,1,1,0,"Statistics, Pandas, Python, JavaScript, HTML",Data Science Intern
7.39,0,2,2,"Jenkins, CI/CD, Linux, HR Policies, User Research",DevOps Intern
5.9,3,2,0,"Mobile Development, Firebase, Flutter, AWS, Statistics",Flutter Developer Intern
7.09,4,2,2,"Python, TensorFlow, Pandas, MongoDB, HTML",AI/ML Engineer Intern
9.1,5,1,0,"Mobile Development, Firebase, Dart, User Research, AWS",Flutter Developer Intern
5.54,1,3,0,"Linux, Bash, CI/CD, Communication, GCP",DevOps Intern
7.76,3,2,2,"AWS, Cloud Architecture, Azure, Machine Learning, HTML",Cloud Computing Intern
7.3,0,1,0,"Cloud Architecture, AWS, Terraform, JavaScript, Prototyping",Cloud Computing Intern
8.2,5,0,0,"HR Policies, MS Office, Communication, Figma, Firebase",HR Operations Intern
5.72,5,1,2,"Docker, Linux, CI/CD, React, Recruitment",DevOps Intern
7.58,1,0,1,"MongoDB, Node.js, HTML, Python, Azure",Full Stack Developer Intern
8.83,3,0,0,"Flutter, Dart, Mobile Development, Cloud Architecture, SQL",Flutter Developer Intern
8.87,5,3,2,"Python, Machine Learning, TensorFlow, Flutter, Dart",AI/ML Engineer Intern
8.42,3,3,2,"Data Visualization, Statistics, Pandas, Node.js, Cloud Architecture",Data Science Intern
6.33,3,2,0,"HTML, CSS, Node.js, Prototyping, SQL",Full Stack Developer Intern
5.61,5,3,2,"Pandas, Statistics, Data Visualization, Cloud Architecture, Azure",Data Science Intern
9.69,0,3,2,"Adobe XD, Prototyping, Figma, Statistics, Cloud Architecture",UI/UX Design Intern
9.47,1,3,0,"Node.js, CSS, HTML, GCP, Prototyping",Full Stack Developer Intern
9.09,3,1,1,"Node.js, MongoDB, CSS, Python, GCP",Full Stack Developer Intern
6.78,3,3,2,"Python, SQL, Data Visualization, HR Policies, Communication",Data Science Intern
8.88,4,3,2,"GCP, AWS, Terraform, JavaScript, User Research",Cloud Computing Intern
7.63,5,0,0,"Linux, Docker, CI/CD, Wireframing, Python",DevOps Intern
7.34,3,1,0,"AWS, Cloud Architecture, Azure, CI/CD, CSS",Cloud Computing Intern
